short_name,long_name,overall,potential,value,positions,position,nationality,age,height,weight,club,wage,release,club_position,end,jersey number,start,foot,national_position,national_number
L. Messi,Lionel Messi,91,91,54000000,RW,CAM,Argentina,35,169,67,Paris Saint-Germain,195000,99900000,RW,2023,30,2021,Left,RW,10
K. Benzema,Karim Benzema,91,91,64000000,"CF,ST",CF,France,34,185,81,Real Madrid CF,450000,131199999,CF,2023,9,2009,Right,ST,19
R. Lewandowski,Robert Lewandowski,91,91,84000000,ST,ST,Poland,33,185,81,FC Barcelona,420000,172200000,ST,2025,9,2022,Right,ST,9
K. De Bruyne,Kevin De Bruyne,91,91,107500000,"CM,CAM",CM,Belgium,31,181,70,Manchester City,350000,198900000,CM,2025,17,2015,Right,RF,7
K. Mbappé,Kylian Mbappé,91,95,190500000,"ST,LW",ST,France,23,182,73,Paris Saint-Germain,230000,366700000,ST,2024,7,2018,Right,ST,10
M. Salah,Mohamed Salah,90,90,115500000,RW,RW,Egypt,30,175,71,Liverpool,270000,213700000,RW,2023,11,2017,Left,-,-
T. Courtois,Thibaut Courtois,90,91,90000000,GK,GK,Belgium,30,199,96,Real Madrid CF,250000,191300000,GK,2026,1,2018,Left,GK,1
M. Neuer,Manuel Neuer,90,90,13500000,GK,GK,Germany,36,193,93,FC Bayern München,72000,22300000,GK,2024,1,2011,Right,GK,1
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,90,90,41000000,ST,ST,Portugal,37,187,83,Manchester United,220000,77900000,SUB,2023,7,2021,Right,ST,7
V. van Dijk,Virgil van Dijk,90,90,98000000,CB,CB,Netherlands,30,193,92,Liverpool,230000,181300000,CB,2025,4,2018,Right,CB,4
H. Kane,Harry Kane,89,89,105500000,ST,ST,England,28,188,89,Tottenham Hotspur,240000,200500000,ST,2024,10,2010,Right,ST,9
Neymar Jr,Neymar da Silva Santos Jr.,89,89,99500000,LW,LW,Brazil,30,175,68,Paris Saint-Germain,200000,184100000,LW,2025,10,2017,Right,-,-
